t	x	y	z
1352614476699	-2.2882185	-0.35412905	-8.390134
1352614476721	-1.8932283	-0.7627395	-8.471856
1352614476749	-1.5799603	-1.5118586	-10.20164
1352614476767	-1.3892754	-1.7025435	-11.209546
1352614476786	-0.81722087	-1.8115063	-11.481953
1352614476807	-0.313268	-2.1111538	-11.277648
1352614476826	0.14982383	-2.3290794	-11.863323
1352614476847	0.313268	-2.192876	-13.538626
1352614476867	0.29964766	-1.9340894	-14.996003
1352614476887	-0.095342435	-1.607201	-15.091345
1352614476911	0.9670447	-1.3892754	-14.423948
1352614476933	2.6014864	-0.8036005	-14.369467
1352614476948	2.73769	-0.6401563	-14.914281
1352614476968	2.2064962	-0.7082581	-15.5135765
1352614476988	1.6889231	-0.8580819	-15.785983
1352614477009	1.253072	-0.8580819	-15.854085
1352614477028	0.84446156	-0.9670447	-14.996003
1352614477049	0.6946377	-0.9670447	-13.892755
1352614477069	0.7491191	-0.89894295	-12.93933
1352614477089	0.5720546	-0.7354988	-12.54434
1352614477109	0.19068487	-0.58567494	-12.639683
1352614477130	-0.23154591	-0.54481393	-12.489859
1352614477151	-0.7627395	-0.43585113	-12.258313
1352614477174	-0.7763598	-0.25878662	-11.4410925
1352614477192	-0.980665	-0.013620348	-10.841797
1352614477213	-1.3756552	0.16344418	-10.2152605
1352614477235	-1.8523673	0.32688835	-9.724928
1352614477253	-2.1111538	0.6401563	-9.452521
1352614477273	-2.2882185	0.9670447	-8.907707
1352614477293	-2.506144	1.1849703	-7.8998017
1352614477314	-2.9419951	1.4437568	-6.9463773
1352614477335	-3.568531	1.6753027	-6.2789803
1352614477355	-4.099725	1.9885708	-6.0610547
1352614477375	-4.2086873	2.2882185	-5.952092
1352614477395	-4.2086873	2.5333846	-5.8158884
1352614477415	-4.5219555	2.5742457	-5.1212506
1352614477436	-5.1621118	2.465283	-3.8954194
1352614477456	-5.761407	2.383561	-2.9419951
1352614477476	-6.115536	2.4108016	-2.5197644
1352614477496	-6.4424243	2.4516625	-2.3971813
1352614477518	-6.3879433	2.5333846	-1.9068487
1352614477538	-6.2789803	2.5742457	-0.89894295
1352614477559	-6.374323	2.6151068	0.6946377
1352614477580	-6.66035	2.6014864	2.233737
1352614477599	-6.932757	2.587866	3.4731886
1352614477619	-7.940663	2.4380422	4.372132
1352614477639	-8.580819	2.2609777	5.09401
1352614477659	-9.152874	1.9885708	6.0610547
1352614477679	-9.2073555	1.7842655	7.096201
1352614477699	-9.479762	1.5799603	7.1234417
1352614477721	-9.071152	1.5935807	7.518432
1352614477763	-8.444615	1.9749504	7.2596455
1352614477763	-8.62168	2.0430522	7.409469
1352614477781	-8.7034025	2.152015	7.3005066
1352614477800	-8.567199	2.2473574	7.1098213
1352614477821	-8.444615	2.2473574	6.769313
1352614477842	-8.19945	2.233737	6.2926006
1352614477872	-8.253931	2.1656353	5.7477865
1352614477883	-8.185829	2.070293	4.9986677
1352614477902	-7.709117	2.2201166	3.9635212
1352614477923	-7.2187843	2.383561	2.9419951
1352614477942	-6.9872384	2.465283	2.1247742
1352614477962	-6.769313	2.547005	1.1168685
1352614477982	-6.6875906	2.5742457	0.05448139
1352614478003	-6.742072	2.587866	-1.0351465
1352614478023	-6.4424243	2.5742457	-1.5935807
1352614478043	-6.2108784	2.547005	-2.6287272
1352614478063	-6.1291566	2.4925237	-3.9771416
1352614478084	-6.1700177	2.4108016	-5.1893525
1352614478104	-6.2789803	2.3426998	-6.0610547
1352614478124	-6.3198414	2.315459	-6.3879433
1352614478144	-6.0882955	2.2609777	-6.4015636
1352614478164	-5.407278	2.3563201	-5.7341666
1352614478185	-4.5219555	2.315459	-5.802268
1352614478205	-3.9635212	2.3290794	-6.4832854
1352614478225	-3.336985	2.2882185	-7.3413672
